State,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
Katsina,15000.0,15031.5,15063.07,15094.7,15126.4,15158.16,15190.0,15221.89,18438.2,18720.22,18759.53,18798.93,18900.93,21000.0,22300.33,22500.0,23450.0,24049.38,24000.0,24500.0," 	24,500.00 ",24000.0,26000.0,25000.0,26000.0,25200.0,24000.0,24500.0,24300.0,24500.0,24500.0,25000.0,25000.0,25000.0,25500.0,23750.0,25000.0,25000.0,25125.0,25500.0,23000.0,24500.0,24450.0,24490.0,24500.0,24565.0,24570.0,24600.0,24660.0,24686.0,25000.0
Kogi,20000.0,20042.0,20084.09,20126.26,20168.53,20210.88,20253.33,20253.33,20338.48,18360.29,18398.85,22000.0,22000.0,22000.0,22500.65,22500.65,23400.0,23163.57,23000.0,23500.0,24800.00,25078.57,25000.0,25000.0,26000.0,26000.0,25550.0,26000.0,25800.5,25700.0,25700.0,25800.0,25800.0,30000.0,30000.0,30000.0,29500.33,30000.0,30000.0,30500.0,30510.0,30000.0,31000.0,31200.0,31150.0,31200.0,31250.0,31400.0,31400.0,31500.0,31250.0
Kwara,18500.0,23500.0,27000.0,24500.0,24500.0,25000.0,24500.0,25100.0,25152.71,25862.13,25000.0,35000.0,35000.0,35000.0,35000.0,35000.0,33600.32,35000.0,35000.0,35000.0," 	35,000.00 ",35000.0,34000.0,28000.0,30000.0,28000.0,27000.0,28000.0,28500.0,28500.0,28500.0,32000.0,32000.0,38000.0,35000.0,32000.0,32500.0,35000.0,35200.0,35150.0,35000.0,35000.0,35150.0,35200.0,35200.0,35215.0,35220.0,35260.0,35300.0,35350.0,33500.0
Lagos,26500.0,26555.65,26611.42,26667.3,26723.3,26779.42,28000.0,28058.8,28117.72,28724.6,28784.93,30000.0,30000.0,30000.0,32500.45,32500.0,33000.13,35087.0,35000.0,35680.0,35700.0,35800.0,35000.0,39008.91,40500.0,40500.0,40000.0,41000.0,40500.0,41300.0,41500.0,42000.0,41500.0,40000.0,40500.0,36500.0,33500.0,33500.0,33439.0,33460.0,33000.0,33400.0,33350.0,33390.0,33400.0,33400.0,33450.0,33487.0,33500.0,33600.0,33600.0
Niger,20678.98,20722.41,20765.92,20809.53,20853.23,20897.02,20940.91,20984.88,21028.95,21028.95,21028.95,26779.42,26779.42,26779.42,27870.45,28000.0,28500.34,30052.0,30000.0,30000.0,30200.0,30500.0,30000.0,30000.0,30000.0,30000.0,29000.0,30000.99,29500.0,29600.0,29600.0,29600.0,29550.0,30000.0,30100.0,30100.0,30590.321,30100.0,30262.56,30270.0,30200.0,30250.0,30500.0,30400.0,30450.0,30500.0,30500.0,31000.0,31500.0,31560.0,31500.0
Ondo,26000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,26271.68,26326.85,26382.14,26382.14,26000.0,30000.0,30000.0,29800.54,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,29000.0,30000.0,30000.0,29800.0,30000.0,31000.0,31500.0,32000.0,33000.0,33000.0,34000.0,34000.0,34500.0,32005.85,32500.0,32500.0,32300.0,32300.0,32350.0,32400.0,32380.0,32400.0,32420.0,32430.0,32550.0,32650.0,32700.0,32000.0
Oyo,19625.0,22500.0,22500.0,22500.0,25000.0,25000.0,20000.0,22500.0,22547.25,27045.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,25000.0,30000.0,25000.0,24500.0,25000.0,26500.67,26500.0,26500.0,23500.0,23500.0,25000.0,25000.0,25000.0,24000.91,25000.0,25000.0,25200.0,24995.74,25000.0,25000.0,25200.0,25250.0,25300.0,25340.0,25700.0,25700.0,25765.0,25765.0
Plateau,23760.33,23810.23,23860.23,25000.0,25052.5,20000.0,20000.0,20042.0,20084.09,24054.36,24104.88,25550.21,25550.21,25550.21,25000.0,25000.0,30000.0,30000.0,30000.0,30000.0,30000.0,31000.0,31000.0,35000.0,36000.0,36000.0,36000.0,36500.0,35500.0,36000.0,36500.0,36600.0,36600.0,28600.0,36000.0,30000.0,28000.03,28000.0,27500.0,27550.0,27700.49,27750.0,27700.0,27800.0,27690.0,27700.0,27735.0,27850.0,27870.0,27900.0,27900.0
Taraba,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25052.5,25052.5,25052.5,35000.0,35000.0,35000.0,35000.0,35540.0,35000.0,40000.0,40550.0,30500.0,29000.0," 	29,000.00 ",29000.0,29000.0,25000.0,26000.0,26000.0,25000.0,25500.11,26000.0,26000.0,26000.0,26000.0,26000.0,25000.0,25500.0,25000.0,26000.33,25500.0,26000.0,26000.0,26250.0,26100.0,26050.0,26100.0,26200.0,26230.0,26250.0,26420.0,26450.0,26500.0,27000.0
Yobe,25000.0,25052.5,25105.11,25157.83,25210.66,25263.6,25316.66,25369.82,25361.19,25361.19,25361.19,26584.03,26584.93,26584.93,26560.12,26570.0,27000.0,28000.0,28000.45,28500.0,28550.0,29000.0,30000.65,30000.0,30000.98,30000.0,30000.0,30500.11,30125.27,30200.0,30500.0,30500.0,30600.0,30500.0,30600.0,30600.0,29000.01,30000.0,29859.34,29900.0,29607.1,30000.0,30100.0,30150.0,30200.0,30250.0,30255.0,30500.0,31000.0,32000.0,31200.58
Zamfara,22000.0,22046.2,22092.5,22138.89,22185.38,22231.97,22278.66,22325.44,22325.44,22770.68,22818.5,23866.42,23870.42,24050.55,25500.11,25500.11,26000.0,31000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,29500.0,30000.88,30500.5,30500.0,31000.0,31200.0,31250.0,30500.0,31000.0,31000.0,30890.2,31000.0,31000.0,31100.0,30090.2,31100.0,32250.0,32200.0,32300.0,32300.0,32350.0,32430.0,32485.0,32500.0,32500.0
