State,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
Delta,101.25,86.43,70.0,96.67,96.67,96.67,149.0,149.0,149.31,149.31,186.43,196.43,153.33,138.89,127.78,128.25,121.0,115.45,118.73,100.83, 	103.33 ,102.17,127.5,145.0,155.56,133.64,125.0,130.0,136.8,137.0,140.0,150.83,155.0,146.25,148.0,145.0,133.64,140.0,157.5,150.0,152.0,151.0,153.0,155.0,158.0,159.0,160.0,164.0,165.0,167.0,185.0
Ebonyi,102.5,102.5,102.25,102.05,103.5,105.66,105.86,105.76,105.79,105.45,105.25,150.25,120.75,175.0,176.0,200.0,180.55,183.33,200.0,175.0, 	180.00 ,180.0,185.32,198.89,200.0,185.0,180.0,190.0,198.75,200.0,200.0,230.0,240.0,244.0,245.0,230.0,194.0,184.0,180.0,182.0,175.0,179.0,180.0,185.0,183.0,185.0,187.0,190.0,194.0,195.0,185.0
Edo,110.0,100.0,115.5,117.5,100.0,100.0,100.0,120.0,120.0,120.0,120.0,130.0,125.0,126.25,161.25,160.0,178.57,172.22,178.0,163.75, 	175.00 ,160.0,169.48,200.0,236.25,195.45,186.36,190.13,200.48,200.7,210.0,220.0,215.0,198.0,200.0,180.91,172.73,175.0,172.5,170.0,164.17,165.0,168.0,170.0,172.0,175.0,173.0,177.0,180.0,185.0,179.09
Ekiti,75.0,102.5,105.69,104.25,105.71,100.93,100.0,104.75,105.05,103.02,100.63,150.25,127.33,125.33,166.67,194.0,186.19,187.14,192.31,171.54,203.64,202.5,203.01,217.22,224.0,225.83,200.32,220.11,215.43,217.5,220.0,229.38,230.0,208.33,210.0,208.89,200.0,204.17,215.45,210.0,200.33,215.0,218.0,219.0,220.0,210.0,215.0,220.0,240.0,230.0,251.43
Enugu,65.0,69.67,61.62,81.29,63.21,70.43,70.43,70.43,99.26,80.95,110.12,110.12,73.68,78.89,72.63,75.88,79.55,79.13,78.71,74.29,78.42,96.52,111.17,134.78,159.44,137.62,123.64,125.13,130.5,130.9,140.0,156.25,155.0,120.0,130.0,135.33,125.24,132.11,135.93,137.0,149.26,146.0,150.0,152.0,155.0,160.0,162.0,166.0,170.0,168.0,176.92
Gombe,55.0,57.55,51.67,51.77,56.83,55.91,62.52,61.5,68.77,67.65,75.65,105.87,99.89,83.33,88.67,89.0,86.67,100.0,106.67,118.75,119.0,118.57,102.54,150.0,156.25,150.0,125.0,130.12,135.6,140.0,140.0,160.82,160.95,156.25,160.0,158.0,153.57,140.67,148.6,146.0,141.0,143.0,145.0,148.0,150.0,153.0,155.0,158.0,160.0,166.0,170.0
Imo,90.83,79.79,79.79,93.33,87.77,87.77,87.77,91.15,103.02,94.96,119.87,120.87,105.63,114.62,128.75,127.78,126.22,122.35,120.0,119.5,121.58,118.75,123.52,160.0,172.38,161.43,150.0,155.71,161.0,160.0,160.0,165.0,160.0,108.1,115.0,136.11,134.38,135.71,136.84,137.0,147.73,145.0,149.0,150.0,150.0,156.0,155.0,157.0,158.0,160.0,163.04
Jigawa,96.67,92.5,95.0,90.0,90.0,90.0,90.0,90.0,129.35,124.3,130.0,262.5,160.0,160.0,156.67,157.5,142.0,145.0,145.0,150.0, 	146.20 ,141.67,200.0,150.0,160.67,149.0,125.36,130.36,133.33,140.0,135.0,150.0,145.0,177.5,180.0,150.0,150.2,157.5,150.0,154.0,147.0,146.0,148.0,149.0,150.0,160.0,157.0,160.0,160.0,164.0,176.0
Kaduna,80.0,79.75,78.75,101.25,125.0,120.29,120.25,120.25,120.25,120.25,153.33,165.0,175.0,155.56,130.0,132.0,126.67,125.56,135.56,127.14,127.66,120.0,134.67,150.0,171.86,166.0,155.0,160.23,160.0,165.0,165.0,170.91,170.98,165.0,168.0,130.83,130.33,148.0,183.64,185.0,170.0,175.0,180.0,178.0,180.0,182.0,185.0,190.0,194.0,195.0,186.36
Kano,74.17,73.33,72.5,77.5,76.67,100.0,100.0,102.0,103.4,100.57,111.67,150.25,132.5,120.0,136.89,137.5,146.67,154.0,150.0,142.0, 	145.00 ,175.0,167.5,185.0,195.0,192.43,189.36,190.32,190.42,190.5,190.0,198.57,199.0,178.57,180.0,165.0,155.0,171.43,154.1,160.0,152.0,155.0,153.0,200.0,180.0,190.0,185.0,190.0,197.0,194.0,185.0
Katsina,115.0,200.0,100.0,100.0,115.0,100.0,100.0,100.0,94.83,113.2,233.33,233.33,100.0,125.0,196.67,200.0,212.5,60.0,65.0,70.0, 	69.80 ,68.5,76.66,150.0,175.0,173.33,170.0,175.23,183.33,180.0,185.0,200.5,210.0,193.33,195.0,202.0,200.0,190.0,190.0,194.0,190.0,191.0,195.0,198.0,200.0,199.0,200.0,207.0,205.0,204.85,217.0
Kebbi,50.0,50.0,75.0,50.0,50.0,55.0,50.0,50.0,70.59,70.59,77.5,105.22,101.67,90.0,106.67,108.5,100.0,105.0,100.0,98.0,99.32,97.88,100.58,200.0,233.33,230.0,220.0,225.32,218.33,220.0,200.0,220.0,225.0,300.0,280.0,250.0,245.95,250.0,250.0,247.0,250.0,249.0,250.0,255.0,259.0,257.0,259.0,263.0,260.0,261.0,300.0
Kogi,50.0,50.0,50.0,50.0,50.0,50.55,50.0,50.11,50.21,50.75,52.45,100.75,100.0,102.0,100.26,102.67,100.54,101.6,100.0,120.0,120.60,125.0,146.66,173.19,180.0,150.0,145.0,150.32,156.33,160.0,158.0,165.0,165.0,200.0,190.0,180.0,180.94,170.0,200.0,192.0,195.0,195.36,198.0,200.0,210.0,218.0,220.0,245.0,250.0,248.0,250.0
Kwara,75.0,100.0,75.0,75.0,100.0,102.0,75.0,75.0,75.0,101.31,100.0,200.0,125.0,120.0,150.0,166.67,143.33,144.6,145.0,150.0, 	150.67 ,156.67,145.0,156.67,170.0,150.0,120.0,130.99,125.6,130.0,128.0,150.0,140.0,200.0,185.0,150.0,143.33,140.0,149.3,147.22,153.33,152.0,150.0,153.0,155.0,155.0,158.0,160.0,157.0,160.0,150.0
Lagos,124.17,124.31,124.44,128.44,141.92,141.92,141.92,141.92,141.92,140.95,168.5,178.5,150.59,143.53,140.95,148.33,143.82,140.56,143.33,167.06,171.25,170.55,174.66,206.42,217.62,210.18,200.0,210.23,210.48,215.0,220.0,230.29,240.0,221.43,225.0,245.24,235.79,250.0,228.42,240.0,250.0,245.0,250.0,247.0,248.0,250.0,250.0,270.0,274.0,275.0,276.92
Nassarawa,100.0,100.0,100.0,100.0,100.0,100.0,100.0,115.0,115.51,115.51,115.36,180.58,150.0,103.33,100.0,150.0,158.78,150.0,151.33,150.0, 	146.32 ,145.0,206.66,233.33,240.0,235.0,225.0,230.23,232.71,235.0,230.0,255.0,258.0,270.0,260.0,240.0,233.33,228.33,233.84,230.0,230.37,229.0,230.0,235.0,237.0,245.0,247.0,260.0,258.0,260.0,280.0
Niger,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.0,100.0,107.5,120.0,120.0,120.0,110.0,105.0,100.0,105.0,100.55,113.33,140.0,154.44,141.67,100.0,110.25,106.67,115.0,120.0,150.0,145.0,200.0,180.0,160.0,150.0,148.33,152.69,150.0,165.0,160.0,155.0,157.0,159.0,160.0,160.0,168.0,170.0,170.0,183.0
Ogun,77.5,85.0,77.5,81.25,120.83,120.83,120.83,120.83,131.23,135.0,136.55,200.0,150.11,127.5,156.67,166.67,172.0,169.33,70.0,65.0,64.75,64.55,70.72,150.0,160.0,157.0,145.32,150.37,148.6,150.0,150.0,165.0,168.0,200.0,190.0,168.75,155.2,158.33,156.67,158.0,157.05,159.0,160.0,162.0,161.0,164.0,165.0,168.0,170.0,176.0,166.6
Ondo,73.57,91.96,65.0,69.64,65.83,100.0,100.0,100.0,100.25,102.55,108.22,140.55,120.55,81.82,108.33,109.0,106.11,106.67,108.0,110.0,122.0,115.55,128.18,143.75,152.0,144.17,140.0,145.22,143.17,146.0,145.0,153.33,155.0,180.0,185.0,166.67,158.18,170.0,178.5,175.0,164.29,170.0,166.0,168.0,170.0,170.0,175.0,178.0,182.0,180.0,194.4
Osun,81.88,81.46,88.57,80.25,86.94,83.33,87.64,85.36,85.54,85.54,100.25,120.5,111.11,105.0,106.92,106.62,103.08,108.25,103.0,105.0,107.0,105.88,107.39,145.71,152.73,144.17,140.65,150.33,146.97,148.5,150.0,157.78,159.0,158.33,160.0,149.0,142.73,164.29,161.74,162.0,158.44,160.0,165.0,162.0,164.0,165.0,165.0,174.0,178.0,180.0,171.25
Oyo,63.75,62.5,69.17,85.58,85.58,85.58,85.58,101.75,101.96,118.58,118.78,158.58,143.64,151.82,157.5,160.0,155.71,154.55,157.14,150.0,152.22,150.44,158.33,180.57,185.0,174.62,155.0,160.56,158.45,160.0,159.0,161.82,160.0,182.86,180.0,169.17,167.5,194.17,180.34,186.0,180.74,182.0,181.0,185.0,183.0,190.0,187.0,200.0,205.0,203.0,195.56
Plateau,87.5,77.08,85.0,87.5,92.5,86.25,85.5,90.0,90.19,88.65,116.67,126.67,110.0,78.57,80.0,91.25,92.5,83.75,93.75,93.0,111.67,117.78,123.63,114.29,120.25,105.0,95.0,100.52,110.67,115.0,115.0,135.0,125.0,224.0,200.0,180.0,171.33,171.67,181.67,178.0,176.61,180.0,180.0,183.0,185.0,190.0,190.0,220.0,230.0,225.0,234.0
Rivers,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,104.44,105.68,156.07,128.33,121.25,100.0,103.33,105.0,105.5,100.5,100.0,108.78,104.55,105.0,135.71,141.67,156.67,95.45,100.23,96.36,100.0,110.0,121.88,125.0,103.85,110.0,128.13,127.5,131.67,132.5,135.0,141.67,140.0,145.0,148.0,150.0,150.0,155.0,157.0,155.0,159.0,145.0
Sokoto,50.25,50.25,60.0,60.0,60.0,60.0,60.0,60.0,75.16,75.55,80.0,85.0,75.0,100.0,100.0,112.5,110.0,100.0,105.11,100.0, 	100.00 ,100.22,100.0,125.0,135.0,135.0,120.0,130.15,125.33,130.0,130.0,150.0,145.0,138.0,140.0,133.33,129.33,133.33,130.5,132.0,130.0,131.0,135.0,138.0,138.0,140.0,139.0,146.0,148.0,150.0,135.0
Taraba,50.0,50.08,57.5,55.75,60.0,60.0,58.99,59.55,57.18,58.78,75.0,80.68,75.0,100.0,100.98,101.0,100.0,100.0,110.21,105.88, 	100.00 ,100.0,95.0,150.0,160.0,150.0,145.0,150.23,150.7,150.1,160.0,176.0,180.0,150.0,160.0,150.0,145.0,155.0,200.0,195.0,220.0,210.0,200.0,205.0,210.0,220.0,230.0,243.0,245.0,248.0,256.67
Yobe,50.0,50.89,50.87,50.85,50.25,52.25,55.25,57.75,58.32,59.32,60.32,75.24,65.0,60.0,60.0,62.5,75.0,84.0,97.32,95.0,89.45,89.22,100.0,150.0,170.0,150.0,140.0,145.86,144.46,150.12,148.0,153.33,155.0,200.0,195.0,150.0,145.2,150.0,148.38,150.0,146.38,148.0,150.0,154.0,155.0,158.0,156.0,160.0,160.0,170.0,170.0
Zamfara,55.0,55.78,57.83,58.85,55.93,56.78,57.55,58.83,57.89,58.83,59.26,90.26,84.29,94.44,102.22,103.67,99.65,105.0,104.67,104.88,101.0,100.89,107.0,150.0,158.33,160.0,155.25,160.32,156.48,160.1,158.0,163.33,160.0,258.33,250.0,300.0,302.03,285.0,308.57,305.0,300.0,310.0,315.0,318.0,320.0,325.0,328.0,334.0,338.0,336.0,357.14
